date,country,confirmed,cases_per_million,recovered,deaths,new_confirmed,new_cases_per_million,new_deaths,new_recovered
2020-05-27,Azerbaijan,4403.0,437.0,2819.0,52.0,132.0,13.0,1.0,78.0
2020-05-27,Honduras,4189.0,457.0,473.0,182.0,239.0,26.0,2.0,5.0
2020-05-27,Luxembourg,3995.0,6508.0,3783.0,110.0,2.0,4.0,0.0,2.0
2020-05-27,Sudan,3976.0,94.0,503.0,170.0,156.0,4.0,5.0,45.0
2020-05-27,Hungary,3771.0,386.0,1836.0,499.0,0.0,0.0,0.0,0.0
2020-05-27,Guatemala,3760.0,226.0,274.0,59.0,336.0,20.0,1.0,16.0
2020-05-27,Uzbekistan,3290.0,96.0,2636.0,14.0,29.0,0.0,1.0,29.0
2020-05-27,Guinea,3275.0,268.0,1673.0,20.0,0.0,0.0,0.0,0.0
2020-05-27,Tajikistan,3266.0,358.0,1417.0,47.0,166.0,18.0,1.0,22.0
2020-05-27,Senegal,3161.0,195.0,1565.0,39.0,31.0,2.0,0.0,50.0
2020-05-27,Thailand,3045.0,46.0,2929.0,57.0,3.0,0.0,0.0,1.0
2020-05-27,Greece,2892.0,270.0,1374.0,173.0,10.0,1.0,1.0,0.0
2020-05-27,Côte d'Ivoire,2477.0,96.0,1286.0,30.0,54.0,2.0,0.0,29.0
2020-05-27,Djibouti,2468.0,2289.0,1079.0,14.0,0.0,0.0,0.0,0.0
2020-05-27,Bulgaria,2443.0,349.0,880.0,130.0,10.0,1.0,0.0,18.0
2020-05-27,Bosnia and Herzegovina,2416.0,732.0,1721.0,149.0,10.0,3.0,3.0,25.0
2020-05-27,Democratic Republic of the Congo,2296.0,26.0,337.0,67.0,0.0,0.0,0.0,0.0
2020-05-27,Croatia,2244.0,551.0,2046.0,101.0,0.0,0.0,1.0,11.0
2020-05-27,Gabon,2238.0,1030.0,593.0,14.0,103.0,47.0,0.0,131.0
2020-05-27,El Salvador,2042.0,315.0,787.0,36.0,59.0,9.0,1.0,189.0
2020-05-27,North Macedonia,2014.0,970.0,1453.0,116.0,15.0,8.0,3.0,14.0
