"Country","Cases","New_cases","Deaths","New_deaths","Recovered","Last_update"
"San Marino","462","0","39","0","61",2020-04-30 21:24:00
"Malta","431","0","3","0","126",2020-04-30 21:24:00
"Taiwan","422","0","6","0","203",2020-04-30 21:24:00
"Jordan","413","0","7","0","269",2020-04-30 21:24:00
"Georgia","402","0","4","0","95",2020-04-30 21:24:00
"Senegal","377","0","5","0","235",2020-04-30 21:24:00
"DR Congo","327","0","25","0","26",2020-04-30 21:24:00
"Mauritius","325","0","9","0","180",2020-04-30 21:24:00
"Palestine","313","0","2","0","69",2020-04-30 21:24:00
"Montenegro","311","0","5","0","60",2020-04-30 21:24:00
"Sri Lanka","304","0","7","0","98",2020-04-30 21:24:00
"Isle of Man","300","0","9","0","200",2020-04-30 21:24:00
"Vietnam","268","0","0","0","201",2020-04-30 21:24:00
"Kenya","262","0","13","0","60",2020-04-30 21:24:00
"Jersey","245","0","12","0","N/A",2020-04-30 21:24:00
"Guernsey","239","0","9","0","73",2020-04-30 21:24:00
"Guatemala","235","0","7","0","21",2020-04-30 21:24:00
"Venezuela","227","0","9","0","117",2020-04-30 21:24:00
"El Salvador","218","0","7","0","46",2020-04-30 21:24:00
"Mali","216","0","13","0","41",2020-04-30 21:24:00
"Paraguay","208","0","8","0","46",2020-04-30 21:24:00
"Jamaica","163","0","5","0","26",2020-04-30 21:24:00
"Tanzania","147","0","5","0","11",2020-04-30 21:24:00
"Rwanda","147","0","0","0","80",2020-04-30 21:24:00
"Congo Republic","143","0","6","0","11",2020-04-30 21:24:00
"Brunei","138","0","1","0","116",2020-04-30 21:24:00
"Somalia","135","0","7","0","2",2020-04-30 21:24:00
"Gibraltar","132","0","0","0","120",2020-04-30 21:24:00
"Cambodia","122","0","0","0","103",2020-04-30 21:24:00
"Madagascar","117","0","0","0","33",2020-04-30 21:24:00
"Trinidad and Tobago","114","0","8","0","22",2020-04-30 21:24:00
"Northern Cyprus","108","0","4","0","81",2020-04-30 21:24:00
"Gabon","109","0","1","0","7",2020-04-30 21:24:00
"Ethiopia","105","0","3","0","16",2020-04-30 21:24:00
"Myanmar","98","0","5","0","5",2020-04-30 21:24:00
"Aruba","97","0","2","0","51",2020-04-30 21:24:00
"Monaco","94","0","1","0","20",2020-04-30 21:24:00
"Bermuda","83","0","5","0","35",2020-04-30 21:24:00
"Togo","83","0","5","0","48",2020-04-30 21:24:00
"Liechtenstein","80","0","1","0","55",2020-04-30 21:24:00
"Equatorial Guinea","79","0","0","0","4",2020-04-30 21:24:00
"Liberia","76","0","7","0","4",2020-04-30 21:24:00
"Barbados","75","0","5","0","15",2020-04-30 21:24:00
"Bahamas","64","0","9","0","11",2020-04-30 21:24:00
"Cayman Islands","61","0","1","0","7",2020-04-30 21:24:00
"Sint Maarten","57","0","9","0","12",2020-04-30 21:24:00
"Guyana","57","0","6","0","9",2020-04-30 21:24:00
"Cape Verde","56","0","1","0","1",2020-04-30 21:24:00
"Uganda","56","0","0","0","20",2020-04-30 21:24:00
"French Polynesia","55","0","0","0","N/A",2020-04-30 21:24:00
"Zambia","52","0","2","0","30",2020-04-30 21:24:00
"Guinea-Bissau","50","0","0","0","3",2020-04-30 21:24:00
"Libya","49","0","1","0","11",2020-04-30 21:24:00
"Macau","45","0","0","0","16",2020-04-30 21:24:00
"Haiti","44","0","3","0","N/A",2020-04-30 21:24:00
"Disputed territories","44","0","1","0","3",2020-04-30 21:24:00
"Syria","38","0","2","0","5",2020-04-30 21:24:00
"Benin","35","0","1","0","18",2020-04-30 21:24:00
"Eritrea","35","0","0","0","0",2020-04-30 21:24:00
"Mozambique","34","0","0","0","2",2020-04-30 21:24:00
"Chad","33","0","0","0","8",2020-04-30 21:24:00
"Sudan","32","0","5","0","3",2020-04-30 21:24:00
"Mongolia","31","0","0","0","5",2020-04-30 21:24:00
"Nepal","30","0","0","0","1",2020-04-30 21:24:00
"Maldives","28","0","0","0","16",2020-04-30 21:24:00
"Sierra Leone","26","0","0","0","0",2020-04-30 21:24:00
"Zimbabwe","24","0","3","0","2",2020-04-30 21:24:00
"Antigua and Barbuda","23","0","2","0","3",2020-04-30 21:24:00
"Angola","19","0","2","0","2",2020-04-30 21:24:00
"Eswatini","19","0","1","0","8",2020-04-30 21:24:00
"Laos","19","0","0","0","2",2020-04-30 21:24:00
"Belize","18","0","2","0","0",2020-04-30 21:24:00
"New Caledonia","18","0","0","0","1",2020-04-30 21:24:00
"Timor-Leste","18","0","0","0","1",2020-04-30 21:24:00
"Malawi","17","0","2","0","N/A",2020-04-30 21:24:00
"Fiji","17","0","0","0","0",2020-04-30 21:24:00
"Namibia","16","0","0","0","3",2020-04-30 21:24:00
"Botswana","15","0","1","0","N/A",2020-04-30 21:24:00
"Curaçao","15","0","1","0","10",2020-04-30 21:24:00
"Saint Lucia","15","0","0","0","11",2020-04-30 21:24:00
"Grenada","14","0","0","0","0",2020-04-30 21:24:00
"St. Kitts and Nevis","14","0","0","0","0",2020-04-30 21:24:00
"Saint Vincent and the Grenadines","12","0","0","0","1",2020-04-30 21:24:00
"Central African Republic","12","0","0","0","4",2020-04-30 21:24:00
"Turks and Caicos Islands","11","0","1","0","0",2020-04-30 21:24:00
"Greenland","11","0","0","0","11",2020-04-30 21:24:00
"Seychelles","11","0","0","0","5",2020-04-30 21:24:00
"Falkland Islands","11","0","0","0","2",2020-04-30 21:24:00
"Montserrat","11","0","0","0","2",2020-04-30 21:24:00
"Suriname","10","0","1","0","6",2020-04-30 21:24:00
"Nicaragua","10","0","1","0","5",2020-04-30 21:24:00
"The Gambia","10","0","1","0","2",2020-04-30 21:24:00
"Vatican City","9","0","0","0","2",2020-04-30 21:24:00
"Mauritania","7","0","1","0","2",2020-04-30 21:24:00
"Papua New Guinea","7","0","0","0","1",2020-04-30 21:24:00
