last_updated,provinces,cases,recovered,death,lat,long
2020-04-21,Aceh,7,4,1,4.225081892,96.90952275
2020-04-21,Sumatera Utara,84,13,9,2.184779215,99.05788785
2020-04-21,Sumatera Barat,76,13,7,-0.851914348,100.466805
2020-04-21,Riau,35,9,4,0.510525849,101.812892
2020-04-21,Jambi,13,1,0,-1.61775,103.59932
2020-04-21,Sumatera Selatan,89,5,3,-3.213346822,104.1704194
2020-04-21,Bengkulu,8,1,1,-3.79116,102.26312
2020-04-21,Kepulauan Bangka Belitung,8,2,1,-2.252956411,105.9869481
2020-04-21,Lampung,27,10,5,-4.918073087,105.0183131
2020-04-21,Kepulauan Riau,81,8,8,3.915947241,108.2022289
2020-04-21,DKI Jakarta,3260,286,298,-6.17148,106.82649
2020-04-21,Jawa Barat,756,75,68,-6.919980216,107.6028079
2020-04-21,Jawa Tengah,449,51,44,-7.258970383,110.2011125
2020-04-21,Daerah Istimewa Yogyakarta,72,30,7,-7.895013815,110.445367
2020-04-21,Jawa Timur,603,100,56,-7.720113019,112.7336788
2020-04-21,Banten,341,17,35,-6.456181599,106.1091971
2020-04-21,Bali,150,42,3,-8.369743261,115.131651
2020-04-21,Nusa Tenggara Barat,93,11,4,-8.606652084,117.5068625
2020-04-21,Nusa Tenggara Timur,1,0,0,-8.604843332,121.1418292
2020-04-21,Kalimantan Barat,27,7,3,-0.085901234,111.1207624
2020-04-21,Kalimantan Tengah,67,9,4,-1.634340045,113.1810479
2020-04-21,Kalimantan Selatan,98,9,6,-2.449779137,115.3113078
2020-04-21,Kalimantan Timur,68,11,1,0.461046227,116.4708584
2020-04-21,Kalimantan Utara,77,2,1,2.888820961,116.2167183
2020-04-21,Sulawesi Utara,20,5,3,1.286097687,124.5353788
2020-04-21,Sulawesi Tengah,27,3,3,-1.459214954,120.4495925
2020-04-21,Sulawesi Selatan,374,73,30,-3.747115712,120.1611577
2020-04-21,Sulawesi Tenggara,37,4,2,-4.132803971,122.0786781
2020-04-21,Gorontalo,7,0,1,0.53707,123.06184
2020-04-21,Sulawesi Barat,7,1,1,-2.461902015,119.3434714
2020-04-21,Maluku,17,10,0,-3.126119343,129.360425
2020-04-21,Maluku Utara,4,2,0,0.869337001,128.0159294
2020-04-21,Papua,118,28,6,-5,140
2020-04-21,Papua Barat,7,0,1,-2.041723282,132.9683417
2020-04-21,Indonesia,27,0,0,-0.989818182,113.915865
