"Country","Cases","New_cases","Deaths","New_deaths","Recovered","Last_update"
"Jersey","245","0","12","0","N/A",2020-05-08 12:07:50
"Guernsey","239","0","9","0","73",2020-05-08 12:07:50
"Guatemala","235","0","7","0","21",2020-05-08 12:07:50
"Venezuela","227","0","9","0","117",2020-05-08 12:07:50
"El Salvador","218","0","7","0","46",2020-05-08 12:07:50
"Mali","216","0","13","0","41",2020-05-08 12:07:50
"Paraguay","208","0","8","0","46",2020-05-08 12:07:50
"Jamaica","163","0","5","0","26",2020-05-08 12:07:50
"Tanzania","147","0","5","0","11",2020-05-08 12:07:50
"Rwanda","147","0","0","0","80",2020-05-08 12:07:50
"Congo Republic","143","0","6","0","11",2020-05-08 12:07:50
"Brunei","138","0","1","0","116",2020-05-08 12:07:50
"Somalia","135","0","7","0","2",2020-05-08 12:07:50
"Gibraltar","132","0","0","0","120",2020-05-08 12:07:50
"Cambodia","122","0","0","0","103",2020-05-08 12:07:50
"Madagascar","117","0","0","0","33",2020-05-08 12:07:50
"Trinidad and Tobago","114","0","8","0","22",2020-05-08 12:07:50
"Northern Cyprus","108","0","4","0","81",2020-05-08 12:07:50
"Gabon","109","0","1","0","7",2020-05-08 12:07:50
"Ethiopia","105","0","3","0","16",2020-05-08 12:07:50
"Myanmar","98","0","5","0","5",2020-05-08 12:07:50
"Aruba","97","0","2","0","51",2020-05-08 12:07:50
"Monaco","94","0","1","0","20",2020-05-08 12:07:50
"Bermuda","83","0","5","0","35",2020-05-08 12:07:50
"Togo","83","0","5","0","48",2020-05-08 12:07:50
"Liechtenstein","80","0","1","0","55",2020-05-08 12:07:50
"Equatorial Guinea","79","0","0","0","4",2020-05-08 12:07:50
"Liberia","76","0","7","0","4",2020-05-08 12:07:50
"Barbados","75","0","5","0","15",2020-05-08 12:07:50
"Bahamas","64","0","9","0","11",2020-05-08 12:07:50
"Cayman Islands","61","0","1","0","7",2020-05-08 12:07:50
"Sint Maarten","57","0","9","0","12",2020-05-08 12:07:50
"Guyana","57","0","6","0","9",2020-05-08 12:07:50
"Cape Verde","56","0","1","0","1",2020-05-08 12:07:50
"Uganda","56","0","0","0","20",2020-05-08 12:07:50
"French Polynesia","55","0","0","0","N/A",2020-05-08 12:07:50
"Zambia","52","0","2","0","30",2020-05-08 12:07:50
"Guinea-Bissau","50","0","0","0","3",2020-05-08 12:07:50
"Libya","49","0","1","0","11",2020-05-08 12:07:50
"Macau","45","0","0","0","16",2020-05-08 12:07:50
"Haiti","44","0","3","0","N/A",2020-05-08 12:07:50
"Disputed territories","44","0","1","0","3",2020-05-08 12:07:50
"Syria","38","0","2","0","5",2020-05-08 12:07:50
"Benin","35","0","1","0","18",2020-05-08 12:07:50
"Eritrea","35","0","0","0","0",2020-05-08 12:07:50
"Mozambique","34","0","0","0","2",2020-05-08 12:07:50
"Chad","33","0","0","0","8",2020-05-08 12:07:50
"Sudan","32","0","5","0","3",2020-05-08 12:07:50
"Mongolia","31","0","0","0","5",2020-05-08 12:07:50
"Nepal","30","0","0","0","1",2020-05-08 12:07:50
"Maldives","28","0","0","0","16",2020-05-08 12:07:50
"Sierra Leone","26","0","0","0","0",2020-05-08 12:07:50
"Zimbabwe","24","0","3","0","2",2020-05-08 12:07:50
"Antigua and Barbuda","23","0","2","0","3",2020-05-08 12:07:50
"Angola","19","0","2","0","2",2020-05-08 12:07:50
"Eswatini","19","0","1","0","8",2020-05-08 12:07:50
"Laos","19","0","0","0","2",2020-05-08 12:07:50
"Belize","18","0","2","0","0",2020-05-08 12:07:50
"New Caledonia","18","0","0","0","1",2020-05-08 12:07:50
"Timor-Leste","18","0","0","0","1",2020-05-08 12:07:50
"Malawi","17","0","2","0","N/A",2020-05-08 12:07:50
"Fiji","17","0","0","0","0",2020-05-08 12:07:50
"Namibia","16","0","0","0","3",2020-05-08 12:07:50
"Botswana","15","0","1","0","N/A",2020-05-08 12:07:50
"Curaçao","15","0","1","0","10",2020-05-08 12:07:50
"Saint Lucia","15","0","0","0","11",2020-05-08 12:07:50
"Grenada","14","0","0","0","0",2020-05-08 12:07:50
"St. Kitts and Nevis","14","0","0","0","0",2020-05-08 12:07:50
"Saint Vincent and the Grenadines","12","0","0","0","1",2020-05-08 12:07:50
"Central African Republic","12","0","0","0","4",2020-05-08 12:07:50
"Turks and Caicos Islands","11","0","1","0","0",2020-05-08 12:07:50
"Greenland","11","0","0","0","11",2020-05-08 12:07:50
"Seychelles","11","0","0","0","5",2020-05-08 12:07:50
"Falkland Islands","11","0","0","0","2",2020-05-08 12:07:50
"Montserrat","11","0","0","0","2",2020-05-08 12:07:50
"Suriname","10","0","1","0","6",2020-05-08 12:07:50
"Nicaragua","10","0","1","0","5",2020-05-08 12:07:50
"The Gambia","10","0","1","0","2",2020-05-08 12:07:50
"Vatican City","9","0","0","0","2",2020-05-08 12:07:50
"Mauritania","7","0","1","0","2",2020-05-08 12:07:50
"Papua New Guinea","7","0","0","0","1",2020-05-08 12:07:50
"St. Barthélemy","6","0","0","0","4",2020-05-08 12:07:50
"Burundi","5","0","1","0","4",2020-05-08 12:07:50
"Bhutan","5","0","0","0","2",2020-05-08 12:07:50
"British Virgin Islands","5","0","0","0","3",2020-05-08 12:07:50
"South Sudan","4","0","0","0","N/A",2020-05-08 12:07:50
"São Tomé and Príncipe","4","0","0","0","N/A",2020-05-08 12:07:50
"Anguilla","3","0","0","0","1",2020-05-08 12:07:50
"Yemen","1","0","0","0","N/A",2020-05-08 12:07:50
"TBD","","0","","0","",2020-05-08 12:07:50
"TOTAL","3045993","0","214583","0","791519",2020-05-08 12:07:50
