last_updated,provinces,cases,recovered,death,lat,long
2020-04-20,Aceh,7,4,1,4.225081892,96.90952275
2020-04-20,Sumatera Utara,83,13,9,2.184779215,99.05788785
2020-04-20,Sumatera Barat,74,13,7,-0.851914348,100.466805
2020-04-20,Riau,34,9,4,0.510525849,101.812892
2020-04-20,Jambi,8,0,0,-1.61775,103.59932
2020-04-20,Sumatera Selatan,89,5,3,-3.213346822,104.1704194
2020-04-20,Bengkulu,4,0,1,-3.79116,102.26312
2020-04-20,Kepulauan Bangka Belitung,7,1,1,-2.252956411,105.9869481
2020-04-20,Lampung,26,10,5,-4.918073087,105.0183131
2020-04-20,Kepulauan Riau,79,6,7,3.915947241,108.2022289
2020-04-20,DKI Jakarta,3097,230,287,-6.17148,106.82649
2020-04-20,Jawa Barat,747,56,62,-6.919980216,107.6028079
2020-04-20,Jawa Tengah,351,51,44,-7.258970383,110.2011125
2020-04-20,Daerah Istimewa Yogyakarta,69,28,7,-7.895013815,110.445367
2020-04-20,Jawa Timur,590,98,56,-7.720113019,112.7336788
2020-04-20,Banten,341,17,35,-6.456181599,106.1091971
2020-04-20,Bali,140,42,3,-8.369743261,115.131651
2020-04-20,Nusa Tenggara Barat,72,11,4,-8.606652084,117.5068625
2020-04-20,Nusa Tenggara Timur,1,0,0,-8.604843332,121.1418292
2020-04-20,Kalimantan Barat,21,6,3,-0.085901234,111.1207624
2020-04-20,Kalimantan Tengah,60,9,3,-1.634340045,113.1810479
2020-04-20,Kalimantan Selatan,96,9,6,-2.449779137,115.3113078
2020-04-20,Kalimantan Timur,63,11,1,0.461046227,116.4708584
2020-04-20,Kalimantan Utara,74,2,1,2.888820961,116.2167183
2020-04-20,Sulawesi Utara,20,5,2,1.286097687,124.5353788
2020-04-20,Sulawesi Tengah,27,2,3,-1.459214954,120.4495925
2020-04-20,Sulawesi Selatan,370,63,25,-3.747115712,120.1611577
2020-04-20,Sulawesi Tenggara,37,4,2,-4.132803971,122.0786781
2020-04-20,Gorontalo,4,0,0,0.53707,123.06184
2020-04-20,Sulawesi Barat,7,1,1,-2.461902015,119.3434714
2020-04-20,Maluku,17,10,0,-3.126119343,129.360425
2020-04-20,Maluku Utara,4,2,0,0.869337001,128.0159294
2020-04-20,Papua,107,28,6,-5,140
2020-04-20,Papua Barat,7,0,1,-2.041723282,132.9683417
2020-04-20,Indonesia,27,0,0,-0.989818182,113.915865
