Country/Region,CountryCode,Confirmed,Deaths,Recovered,Latitude,Longitude,Last Update
Ecuador,,15,0,0,-1.8312,-78.1834,2020-03-09T09:03:03
Georgia,,15,0,0,42.3154,43.3569,2020-03-09T10:13:06
US,,15,0,0,39.0598,-105.3111,2020-03-10T18:33:03
US,,15,2,0,27.7663,-81.6868,2020-03-10T13:13:14
US,,15,1,0,40.2989,-74.521,2020-03-10T18:13:16
US,,15,0,0,44.572,-122.0709,2020-03-10T19:53:13
Croatia,,14,0,0,45.1667,15.5,2020-03-10T16:53:13
Chile,,13,0,0,-35.6751,-71.543,2020-03-10T05:13:07
US,,13,0,0,31.0545,-97.5635,2020-03-10T04:13:13
Estonia,,12,0,0,58.5953,25.0136,2020-03-10T11:13:13
US,,12,0,2,40.3495,-88.9861,2020-03-10T18:33:03
US,,12,0,0,40.5908,-77.2098,2020-03-10T18:13:16
Azerbaijan,,11,0,0,40.1431,47.5769,2020-03-10T16:13:27
Peru,,11,0,0,-9.19,-75.0152,2020-03-10T16:33:13
Albania,,10,0,0,41.1533,20.1683,2020-03-10T12:53:02
Macao SAR,,10,0,10,22.1667,113.55,2020-03-10T19:13:20
Russian Federation,,10,0,3,60,90,2020-03-10T19:13:21
Belarus,,9,0,3,53.7098,27.9534,2020-03-10T16:13:27
Costa Rica,,9,0,0,9.7489,-83.7534,2020-03-09T09:03:03
Hungary,,9,0,0,47.1625,19.5033,2020-03-09T09:43:03
Latvia,,8,0,1,56.8796,24.6032,2020-03-10T10:13:41
US,,8,0,0,42.0115,-93.2105,2020-03-10T02:33:04
US,,8,0,0,39.0639,-76.8021,2020-03-10T18:13:16
Australia,,7,0,2,-34.9285,138.6007,2020-03-06T04:23:08
Canada,,7,0,0,53.9333,-116.5765,2020-03-09T17:53:24
Mexico,,7,0,4,23,-102,2020-03-10T05:13:07
North Macedonia,,7,0,0,41.6086,21.7453,2020-03-10T10:53:03
Slovakia,,7,0,0,48.669,19.699,2020-03-10T05:13:07
South Africa,,7,0,0,-30.5595,22.9375,2020-03-10T05:13:07
US,,7,0,0,35.6301,-79.8064,2020-03-10T02:33:04
US,,7,0,0,33.8569,-80.945,2020-03-10T02:33:04
US,,7,0,0,35.7478,-86.6923,2020-03-10T19:53:13
US,,7,0,0,37.7693,-78.17,2020-03-10T03:53:03
Australia,,6,1,0,-31.9505,115.8605,2020-03-10T14:33:13
Maldives,,6,0,0,3.2028,73.2207,2020-03-10T05:13:07
US,,6,0,1,33.7298,-111.4312,2020-03-10T02:53:04
US,,6,0,0,39.8494,-86.2583,2020-03-10T17:13:25
US,,6,0,0,37.6681,-84.6701,2020-03-10T02:33:04
Afghanistan,,5,0,0,33,65,2020-03-10T12:33:02
Bosnia and Herzegovina,,5,0,0,43.9159,17.6791,2020-03-10T05:13:07
Dominican Republic,,5,0,0,18.7357,-70.1627,2020-03-08T17:23:08
French Guiana,,5,0,0,3.9339,-53.1258,2020-03-07T03:23:05
Luxembourg,,5,0,0,49.8144,6.1317,2020-03-10T05:13:07
Malta,,5,0,0,35.9375,14.3754,2020-03-10T16:33:13
New Zealand,,5,0,0,-40.9006,174.886,2020-03-07T02:03:29
Serbia,,5,0,0,44.0165,21.0059,2020-03-10T18:53:03
Tunisia,,5,0,0,33.8869,9.5375,2020-03-10T05:13:07
US,,5,0,0,38.8974,-77.0268,2020-03-10T03:53:03
Bulgaria,,4,0,0,42.7339,25.4858,2020-03-09T14:43:03
Canada,,4,0,0,52.9399,-73.5491,2020-03-10T00:53:03
Senegal,,4,0,1,14.4974,-14.4524,2020-03-08T20:23:08
US,,4,0,0,38.3135,-117.0554,2020-03-10T02:33:04
US,,4,0,0,43.4525,-71.5639,2020-03-10T02:33:04
Bangladesh,,3,0,0,23.685,90.3563,2020-03-10T06:19:32
Colombia,,3,0,0,4.5709,-74.2973,2020-03-10T05:33:02
Cyprus,,3,0,0,35.1264,33.4299,2020-03-10T13:13:13
Morocco,,3,1,0,31.7917,-7.0926,2020-03-10T14:13:14
Republic of Moldova,,3,0,0,47.4116,28.3699,2020-03-10T19:13:21
US,,3,0,0,45.6945,-93.9002,2020-03-10T19:53:13
US,,3,0,0,41.1254,-98.2681,2020-03-10T03:13:17
US,,3,0,0,40.3888,-82.7649,2020-03-10T03:13:17
US,,3,0,0,41.6809,-71.5118,2020-03-10T03:13:17
US,,3,0,1,44.2685,-89.6165,2020-03-10T17:13:25
Australia,,2,0,0,-41.4545,145.9707,2020-03-08T05:43:04
Cambodia,,2,0,1,11.55,104.9167,2020-03-08T04:53:03
Cameroon,,2,0,0,3.848,11.5021,2020-03-08T05:23:03
Faroe Islands,,2,0,0,61.8926,-6.9118,2020-03-08T05:13:07
Martinique,,2,0,0,14.6415,-61.0242,2020-03-07T03:23:05
Nigeria,,2,0,0,9.082,8.6753,2020-03-09T09:43:03
Saint Martin,,2,0,0,18.0708,-63.0501,2020-03-10T05:33:02
