Country,Cases,New_cases,Deaths,New_deaths,Recovered,Last_update
Isle of Man,300,0,9,0,200,5/4/2020 9:57
Vietnam,268,0,0,0,201,5/4/2020 9:57
Kenya,262,0,13,0,60,5/4/2020 9:57
Jersey,245,0,12,0,N/A,5/4/2020 9:57
Guernsey,239,0,9,0,73,5/4/2020 9:57
Guatemala,235,0,7,0,21,5/4/2020 9:57
Venezuela,227,0,9,0,117,5/4/2020 9:57
El Salvador,218,0,7,0,46,5/4/2020 9:57
Mali,216,0,13,0,41,5/4/2020 9:57
Paraguay,208,0,8,0,46,5/4/2020 9:57
Jamaica,163,0,5,0,26,5/4/2020 9:57
Tanzania,147,0,5,0,11,5/4/2020 9:57
Rwanda,147,0,0,0,80,5/4/2020 9:57
Congo Republic,143,0,6,0,11,5/4/2020 9:57
Brunei,138,0,1,0,116,5/4/2020 9:57
Somalia,135,0,7,0,2,5/4/2020 9:57
Gibraltar,132,0,0,0,120,5/4/2020 9:57
Cambodia,122,0,0,0,103,5/4/2020 9:57
Madagascar,117,0,0,0,33,5/4/2020 9:57
Trinidad and Tobago,114,0,8,0,22,5/4/2020 9:57
Northern Cyprus,108,0,4,0,81,5/4/2020 9:57
Gabon,109,0,1,0,7,5/4/2020 9:57
Ethiopia,105,0,3,0,16,5/4/2020 9:57
Myanmar,98,0,5,0,5,5/4/2020 9:57
Aruba,97,0,2,0,51,5/4/2020 9:57
Monaco,94,0,1,0,20,5/4/2020 9:57
Bermuda,83,0,5,0,35,5/4/2020 9:57
Togo,83,0,5,0,48,5/4/2020 9:57
Liechtenstein,80,0,1,0,55,5/4/2020 9:57
Equatorial Guinea,79,0,0,0,4,5/4/2020 9:57
Liberia,76,0,7,0,4,5/4/2020 9:57
Barbados,75,0,5,0,15,5/4/2020 9:57
Bahamas,64,0,9,0,11,5/4/2020 9:57
Cayman Islands,61,0,1,0,7,5/4/2020 9:57
Sint Maarten,57,0,9,0,12,5/4/2020 9:57
Guyana,57,0,6,0,9,5/4/2020 9:57
Cape Verde,56,0,1,0,1,5/4/2020 9:57
Uganda,56,0,0,0,20,5/4/2020 9:57
