"Country","Cases","New_cases","Deaths","New_deaths","Recovered","Last_update"
"United States","790480","0","42214","0","52184",2020-04-28 09:57:37
"Spain","200210","0","21238","0","77357",2020-04-28 09:57:37
"Italy","181228","0","24114","454","48877",2020-04-28 09:57:37
"France","155383","0","20265","547","37409",2020-04-28 09:57:37
"Germany","147139","0","4865","217","87500",2020-04-28 09:57:37
"United Kingdom","124743","0","16509","449","1918",2020-04-28 09:57:37
"Turkey","90980","0","2140","123","13430",2020-04-28 09:57:37
"China","88423","0","4632","0","81785",2020-04-28 09:57:37
"Iran","83505","0","5209","91","59273",2020-04-28 09:57:37
"Russia","47121","0","405","44","3446",2020-04-28 09:57:37
"Brazil","40581","0","2575","113","14026",2020-04-28 09:57:37
"Belgium","39983","0","5828","145","8757",2020-04-28 09:57:37
"Canada","36831","0","1690","0","11230",2020-04-28 09:57:37
"Netherlands","33405","0","3751","67","3459",2020-04-28 09:57:37
"Switzerland","27469","0","1393","0","15900",2020-04-28 09:57:37
"Portugal","20863","0","735","21","610",2020-04-28 09:57:37
"India","17357","0","560","1","2859",2020-04-28 09:57:37
"Peru","16325","0","445","45","6968",2020-04-28 09:57:37
"Ireland","15652","0","687","77","N/A",2020-04-28 09:57:37
"Sweden","14777","0","1580","40","N/A",2020-04-28 09:57:37
"Austria","14755","0","470","18","10631",2020-04-28 09:57:37
"Israel","13713","0","177","5","4049",2020-04-28 09:57:37
"Japan","10810","0","238","0","1069",2020-04-28 09:57:37
"South Korea","10674","0","236","2","7937",2020-04-28 09:57:37
"Chile","10507","0","139","6","4476",2020-04-28 09:57:37
"Saudi Arabia","10484","0","103","6","1490",2020-04-28 09:57:37
"Ecuador","10128","0","507","33","1150",2020-04-28 09:57:37
"Poland","9593","0","380","20","981",2020-04-28 09:57:37
"Romania","8936","0","478","27","2017",2020-04-28 09:57:37
"Mexico","8772","0","712","26","2451",2020-04-28 09:57:37
"Pakistan","8425","0","176","8","1970",2020-04-28 09:57:37
"Denmark","7700","0","364","9","4489",2020-04-28 09:57:37
"United Arab Emirates","7265","0","43","2","1360",2020-04-28 09:57:37
"Singapore","7213","0","11","0","801",2020-04-28 09:57:37
"Norway","7112","0","165","0","N/A",2020-04-28 09:57:37
"Czech Republic","6900","0","194","8","1559",2020-04-28 09:57:37
"Indonesia","6760","0","590","8","747",2020-04-28 09:57:37
"Serbia","6630","0","125","3","870",2020-04-28 09:57:37
"Australia","6547","0","67","0","4124",2020-04-28 09:57:37
"Philippines","6459","0","428","19","613",2020-04-28 09:57:37
"Belarus","6264","0","51","4","514",2020-04-28 09:57:37
"Qatar","6015","0","9","1","555",2020-04-28 09:57:37
"Ukraine","5710","0","151","10","359",2020-04-28 09:57:37
"Malaysia","5425","0","89","0","3295",2020-04-28 09:57:37
"Dominican Republic","4964","0","235","9","416",2020-04-28 09:57:37
"Panama","4467","0","126","0","165",2020-04-28 09:57:37
"Colombia","3977","0","189","10","804",2020-04-28 09:57:37
"Finland","3868","0","98","4","2000",2020-04-28 09:57:37
"Luxembourg","3558","0","75","2","637",2020-04-28 09:57:37
"Egypt","3333","0","250","11","821",2020-04-28 09:57:37
