LastUpdate,CountryCode,Country,Confirmed,Deaths,Recovered,NewConfirmed,NewDeaths,NewRecovered
1/31/2020,KR,Republic of Korea,11,0,0,7,0,0
1/31/2020,SG,Singapore,13,0,0,3,0,0
1/31/2020,LK,Sri Lanka,1,0,0,0,0,0
1/31/2020,TH,Thailand,14,0,0,0,0,0
1/31/2020,AE,United Arab Emirates,4,0,0,0,0,0
1/31/2020,US,United States of America,6,0,0,1,0,0
1/31/2020,VN,Viet0m,5,0,0,3,0,0
02/01/2020,AU,Australia,12,0,0,3,0,0
02/01/2020,KH,Cambodia,1,0,0,0,0,0
02/01/2020,CA,Ca0da,4,0,0,1,0,0
02/01/2020,CN,China,11821,0,0,2101,0,0
02/01/2020,FI,Finland,1,0,0,0,0,0
02/01/2020,FR,France,6,0,0,0,0,0
02/01/2020,DE,Germany,7,0,0,2,0,0
02/01/2020,IN,India,1,0,0,0,0,0
02/01/2020,IT,Italy,2,0,0,0,0,0
02/01/2020,JP,Japan,17,0,0,3,0,0
02/01/2020,MY,Malaysia,8,0,0,0,0,0
02/01/2020,NP,Nepal,1,0,0,0,0,0
02/01/2020,PH,Philippines,1,0,0,0,0,0
02/01/2020,KR,Republic of Korea,12,0,0,1,0,0
02/01/2020,RU,Russian Federation,2,0,0,0,0,0
02/01/2020,SG,Singapore,16,0,0,3,0,0
02/01/2020,ES,Spain,1,0,0,0,0,0
02/01/2020,LK,Sri Lanka,1,0,0,0,0,0
02/01/2020,SE,Sweden,1,0,0,0,0,0
02/01/2020,TH,Thailand,19,0,0,5,0,0
02/01/2020,AE,United Arab Emirates,4,0,0,0,0,0
02/01/2020,GB,United Kingdom,2,0,0,0,0,0
02/01/2020,US,United States of America,7,0,0,1,0,0
02/01/2020,VN,Viet0m,6,0,0,1,0,0
02/02/2020,AU,Australia,12,0,0,0,0,0
02/02/2020,KH,Cambodia,1,0,0,0,0,0
02/02/2020,CA,Ca0da,4,0,0,0,0,0
02/02/2020,CN,China,14411,0,0,2590,0,0
02/02/2020,FI,Finland,1,0,0,0,0,0
02/02/2020,FR,France,6,0,0,0,0,0
02/02/2020,DE,Germany,8,0,0,1,0,0
02/02/2020,IN,India,2,0,0,1,0,0
02/02/2020,IT,Italy,2,0,0,0,0,0
02/02/2020,JP,Japan,20,0,0,3,0,0
02/02/2020,MY,Malaysia,8,0,0,0,0,0
02/02/2020,NP,Nepal,1,0,0,0,0,0
02/02/2020,PH,Philippines,2,0,0,1,0,0
02/02/2020,KR,Republic of Korea,15,0,0,3,0,0
02/02/2020,RU,Russian Federation,2,0,0,0,0,0
02/02/2020,SG,Singapore,18,0,0,2,0,0
02/02/2020,ES,Spain,1,0,0,0,0,0
02/02/2020,LK,Sri Lanka,1,0,0,0,0,0
02/02/2020,SE,Sweden,1,0,0,0,0,0
02/02/2020,TH,Thailand,19,0,0,0,0,0
